Latitude,Longitude,AQI
31.12875,121.432415,82
31.12576,121.419155,82
31.058295,121.149336,82
31.120104,121.324637,82
31.104103,121.618877,82
31.022991,121.570945,82
30.981937,121.721032,82
31.054041,121.143287,82
31.054981,121.152121,82
31.263566,121.298869,82
31.252342,121.30474,82
31.158357,121.656052,82
31.059909,121.778977,82
31.058631,121.776603,82
31.035842,121.752543,82
30.979443,121.764994,82
30.966342,121.736733,82
31.374595,121.312414,82
31.354323,121.298653,82
31.334044,121.272441,82
31.2790184,121.4476492,42
31.1217756,121.5714145,60
31.1263232,121.5005324,60
31.137595,121.5284399,60
31.099609,121.571853,60
31.140325,121.5416521,60
31.132501,121.506356,60
31.123595,121.5007151,60
31.114513,121.5482818,60
31.083876,121.552807,60
31.1323168,121.5328967,60
31.133318,121.537289,60
31.1338895,121.5406394,60
31.134658,121.5438165,60
31.108563,121.5606231,60
31.109208,121.565613,60
31.1102919,121.569293,60
31.107086,121.5691321,60
31.1055972,121.5758764,60
